distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type
515,10.139,0.3,1,1.06,1,0.09459,0.027378507,0.3,0
1229,11.009,0.514,1,1.44,1,0.05453,0.010951404,0,0
987,12.314,1.23,1,1.4,1,0.0363,0.006844627,0.058,0
407,11.567,0.79,1,1.11,1,0.0435,0.010130048,0,0
1243,10.96,4.85,1,1.473,1,0.0514,0.009856262,0.06,0
880,10.514,1.157,1,1.753,1,0.02596,0.003559206,0,0
646,11.03,0.899,1,1.318,1,0.04263,0.008213553,0,0
1463,12.724,0.6,1,1.24,1,0.0449,0.009308693,0.017,0
706,10.994,0.28411,1,0.931,1,0.0449,0.009034907,0.18,0
520,10.148,0.1647,1,1.311,1,0.0484,0.011498973,0,0
983,12.179,1,1,0.93,1,0.0628,0.015605749,0.096,0
1394,11.569,1.465,1,1.937,1,0.0232,0.003011636,0.04,0
562,11.104,1.23,1,0.89,1,0.1012,0.03175907,0,0
653,10.068,0.27,1,1.22,1,0.0607,0.01451061,0,0
401,11.938,0.41,1,0.897,1,0.067,0.01943874,0.07,0
1824,12.891,1.16,1,1.21,1,0.0345,0.006023272,0.17,0
973,13.181,1.9,1,1.3,1,0.0243,0.003832991,0,0
899,9.974,1.51,1,1.38,1,0.0661,0.014236824,0,0
1351,11.796,1.22,1,1.09,1,0.0494,0.009856262,0,0
742,10.424,0.36,1,1.22,1,0.05362,0.012046544,0,0
384,11.118,2.44,1,1.44,1,0.0323,0.006023272,0.05,0
1685,12.65,2.69,1,1.21,1,0.0469,0.009034907,0,0
2384,12.871,0.84,1,1.53,1,0.0347,0.005749486,0,0
1160,13.085,0.44,1,0.85,1,0.0316,0.006297057,0,0
298,11.636,0.89,1,0.9,1,0.0261,0.004928131,0,0
1423,12.681,0.275,1,1.115,1,0.0549,0.012594113,0,0
804,12.036,0.287,1,0.756,1,0.08215,0.024093088,0.21,0
804,12.036,0.392,1,1.24,1,0.2044,0.09445585,0.18,0
528,9.745,8.84,1,1.38,1,0.037,0.006023272,0.09,0
1722,12.026,8.46,1,1.07,1,0.0694,0.015331964,0.38,0
1478,12.821,0.316,1,1.187,1,0.055,0.012320329,0,0
1990,12.591,0.39,1,1.55,1,0.048,0.009034907,0.009,0
398,11.559,0.128,1,0.51,1,0.0453,0.010403832,0.007,0
1090,12.397,0.574,1,0.998,1,0.0499,0.010951404,0,0
1713,12.044,2.79,1,1.07,1,0.0517,0.010130048,0,0
2334,12.836,0.55,1,1.38,1,0.0538,0.010403832,0,0
920,10.972,0.54,1,1.41,1,0.05165,0.010403832,0,0
941,13.04,0.278,1,1.09,1,0.0452,0.010403832,0,0
1119,11.079,2.49,1,1.143,1,0.0673,0.014784395,0,0
1014,12.213,5.2,1,1,1,0.0871,0.026283368,0.43,0
853,12.663,1.87,1,1.202,1,0.0266,0.004380561,0,0
1068,12.603,2.13,1,1.128,1,0.02818,0.004928131,0,0
1964,12.816,0.658,1,1.26,1,0.04823,0.009582478,0,0
1382,10.517,8,1,1.58,1,0.0365,0.005475702,0,0
991,12.124,0.42,1,1.5,1,0.0519,0.011498973,0,0
2045,12.167,0.561,1,1.304,1,0.0681,0.015331964,0,0
633,11.288,1.24,1,1.22,1,0.0415,0.008487337,0,0
997,12.613,1.6,1,1.096,1,0.0337,0.006297057,0,0
2472,12.612,1.084,1,0.98,1,0.0504,0.010403832,0,0
1755,10.988,0.47,1,1.57,1,0.0694,0.015058179,0,0
760,11.15,3.69,1,1.2,1,0.0248,0.003832991,0,0
1338,11.803,0.33,1,1.437,1,0.05503,0.011498973,0,0
1759,12.959,0.99,1,1.208,1,0.04403,0.008487337,0,0
1854,12.006,0.855,1,1.505,1,0.0535,0.010677618,0,0
577,12.312,0.508,1,1.58,1,0.03957,0.008487337,0,0
1395,9.946,1.66,1,1.81,1,0.0558,0.009034907,0,0
1324,11.588,0.78,1,1.87,1,0.0515,0.010130048,0,0
828,10.655,0.9,1,1.24,1,0.048,0.009308693,0,0
1427,12.924,0.299,1,1.184,1,0.05427,0.012320329,0,0
1069,11.98,0.148,1,0.85,1,0.0451,0.009308693,0,0
1061,13.081,0.502,1,1.47,1,0.04632,0.011225188,0,0
2163,12.771,0.57,1,1.33,1,0.0627,0.014236824,0,0
911,11.101,0.98,1,1.25,1,0.0904,0.025735795,0.24,0
909,10.81,4.22,1,1.11,1,0.06,0.013689254,0.33,0
1212,10.295,0.8,1,1.64,1,0.0653,0.013963039,0,0
325,6.59776,1.99,1,1.619,1,0.05053,0.007392197,0,0
403,9.28,10.2,1,1.24,1,0.02024,0.002464066,0.01,0
403,9.28,0.17368,1,0.765,1,0.035,0.006023272,0.015,0
1769,11.645,1,1,1.15,1,0.0663,0.014784395,0,0
1660,12.678,2.3,1,1.23,1,0.0408,0.007939767,0,0
875,12.248,1.154,1,1.415,1,0.01652,0.002190281,0.01,0
1282,11.308,0.854,1,1.483,1,0.03889,0.006844627,0,0
691,10.675,0.311,1,1.462,1,0.06,0.013415469,0,0
843,11.59,0.3,1,1.07,1,0.052,0.011772759,0,0
1036,11.99,0.67,1,1.23,1,0.047,0.009582478,0.02,0
677,12.539,0.884,1,0.962,1,0.0376,0.007939767,0.062,0
1051,11.219,1.24,1,1.38,1,0.03651,0.006297057,0,0
690,11.875,0.44,1,1.07,1,0.0473,0.010403832,0,0
824,11.297,0.85,1,1.21,1,0.04,0.007665982,0,0
1137,12.274,0.889,1,1.219,1,0.0442,0.009308693,0,0
286,11.331,0.23,1,0.77,1,0.0457,0.010677618,0.03,0
500,11.728,0.931,1,1.081,1,0.03144,0.006023272,0.01,0
1252,11.658,0.478,1,1.549,1,0.04659,0.009308693,0,0
900,11.257,2.63,1,0.96,1,0.0394,0.007392197,0,0
398,8.14,2.093,1,1.593,1,0.0239,0.003285421,0,0
431,10.285,0.56,1,1,1,0.0524,0.011772759,0.04,0
660,10.939,0.71,1,1.3,1,0.04317,0.008761123,0,0
1260,12.836,2.361,1,1.327,1,0.02677,0.004106776,0.019,0
1281,12.815,1.8,1,1.16,1,0.0446,0.009856262,0,0
444,9.391,3.44,1,1.23,1,0.07522,0.01889117,0.03,0
698,12.095,0.28,1,1.27,1,0.0486,0.011225188,0,0
754,10.632,2.43,1,1.42,1,0.0315,0.004928131,0,0
533,11.632,0.85,1,1.1,1,0.04022,0.008487337,0,0
533,11.632,3.18,1,1.17,1,1.07,1.1526352,0.29,0
578,12.169,0.527,1,1.122,1,0.0561,0.013689254,0.06,0
283,12.305,1.78,1,0.93,1,0.0142,0.002190281,0,0
1189,13.096,0.87,1,1.1,1,0.03453,0.006570842,0.068,0
689,11.801,0.964,1,0.946,1,0.03963,0.008487337,0.043,0
1224,13.043,1.91,1,1.174,1,0.02335,0.003832991,0.022,0
864,11.936,1.14401,1,1.128,1,0.052,0.011498973,0,0
864,11.936,1.57,1,1.21,1,1.393,1.6,0.3,0
1481,11.647,0.8,1,1.5,1,0.03444,0.005749486,0,0
635,11.352,0.37,1,1.11,1,0.0379,0.007665982,0,0
872,12.483,1.186,1,1.321,1,0.0226,0.003559206,0,0
603,11.44,1.4688,1,1.166,1,0.0293,0.005475702,0.01,0
570,12.192,0.46,1,1.27,1,0.0272,0.004654347,0,0
657,12.591,2.132,1,1.074,1,0.04101,0.009034907,0.03,0
820,10.413,0.59,1,1.58,1,0.04988,0.010130048,0.07,0
970,11.753,0.61,1,1.33,1,0.0558,0.012320329,0,0
1047,12.091,0.45,1,0.94,1,0.05614,0.012594113,0,0
1299,12.913,0.644,1,1.05,1,0.03769,0.007665982,0.059,0
947,11.652,0.97,1,1.43,1,0.0562,0.013689254,0,0
378,12.659,0.863,1,0.775,1,0.0697,0.02162902,0.1,0
1008,12.147,1.58,1,1.087,1,0.0267,0.004380561,0.04,0
1406,11.67,0.55,1,0.88,1,0.05548,0.011772759,0,0
1594,12.489,2.68,1,1.41,1,0.0521,0.010677618,0,0
573,10.213,0.52,1,1.32,1,0.0571,0.012046544,0,0
948,11.155,0.37,1,1.41,1,0.0574,0.012046544,0,0
1207,12.704,1.271,1,1.271,1,0.02648,0.004380561,0,0
893,11.869,1.55,1,1.112,1,0.0334,0.006297057,0,0
1632,11.605,2.35,1,1.4,1,0.0546,0.011225188,0,0
618,12.537,0.43,1,1.15,1,0.05179,0.012594113,0,0
739,10.674,1.08,1,1.32,1,0.06206,0.013963039,0,0
163,9.873,0.29,1,1.11,1,0.04525,0.010677618,0,0
643,11.907,0.37,1,1.03,1,0.04217,0.009308693,0.05,0
725,10.786,0.59,1,1.164,1,0.04853,0.010130048,0,0
1183,10.56,1.39,1,1.18,1,0.04622,0.007939767,0,0
1418,10.868,2.3,1,1.29,1,0.03711,0.006023272,0,0
1033,10.468,2.86,1,1.42,1,0.05512,0.011225188,0,0
487,9.75,0.72,1,1.36,1,0.03443,0.005749486,0,0
959,11.591,1.07,1,1.27,1,0.0375,0.006844627,0,0
634,9.518,0.92,1,1.83,1,0.033,0.004928131,0,0
343,10.294,1.667,1,1.23,1,0.02335,0.003832991,0.01,0
2460,11.965,1.11,1,1.93,1,0.03488,0.006023272,0,0
805,10.044,0.85,1,1.67,1,0.0519,0.010130048,0,0
529,9.504,0.96,1,1.33,1,0.0617,0.013689254,0.03,0
162,11.841,0.538,1,0.999,1,0.0344,0.008487337,0,0
1300,12.469,0.729,1,1.429,1,0.03908,0.007392197,0.066,0
899,10.073,1.17,1,1.62,1,0.0447,0.007392197,0,0
884,12.312,0.3,1,1.04,1,0.059,0.013689254,0,0
328,10.825,0.694,1,0.942,1,0.0771,0.023271732,0,0
463,10.72,1.265,1,1.24,1,0.039,0.007392197,0,0
973,10.727,2.18,1,1.385,1,0.02946,0.004654347,0,0
1708,11.388,0.42,1,1.46,1,0.06431,0.013689254,0,0
949,13.21,5.9,1,1.04,1,0.0427,0.009308693,0.19,0
293,9.789,2.54,1,1.13,1,0.0801,0.022450376,0.31,0
293,9.789,9.45,1,1.12,1,5.28,11.8,0,0
1522,11.618,0.63,1,1.63,1,0.0562,0.010677618,0,0
489,11.98,1.34,1,1.03,1,0.037,0.007665982,0,0
1879,12.951,0.805,1,1.461,1,0.0348,0.006023272,0,0
1208,10.966,1.47,1,1.597,1,0.04211,0.007392197,0,0
689,10.051,0.5,1,1.58,1,0.055,0.010951404,0,0
681,10.589,0.618,1,1.26,1,0.0335,0.005475702,0,0
449,10.092,1.44,1,1.23,1,0.03416,0.006023272,0,0
1150,12.569,0.48,1,1.2,1,0.0453,0.009308693,0,0
493,10.57,1.36,1,1.14,1,0.03303,0.005749486,0,0
919,13.252,0.922,1,1.144,1,0.03762,0.008213553,0.07,0
518,9.475,2.43,1,1.02,1,0.0717,0.015879534,0,0
63,13.855,7.5,1,1.13,1,2500,158840.9,0,0
81,17.244,13.8,1,0.928,1,0.0204,0.003832991,0,0
996,15.564,0.592,1,1.031,1,0.0282,0.007392197,0.012,0
1845,16.186,0.731,1,1.159,1,0.0234,0.004928131,0.057,0
7653,16.644,4.01,1,1.49,1,0.047,0.009308693,0.1,0
3362,15.954,1.12,1,1.363,1,0.01855,0.002737851,0,0
183,4.70964,2.8,1,1.18,1,0.68,0.374538,0,0
534,11.251,0.83,1,1.14,1,0.0488,0.010677618,0,0
503,11.246,0.566,1,0.993,1,0.0368,0.007118412,0.03,0
494,11.196,0.26,1,0.971,1,0.13,0.049828887,0.18,0
494,11.196,1.37,1,1.21,1,0.4756,0.33073238,0.15,0
695,9.854,7.29,1,1.41,1,0.0476,0.008761123,0.29,0
889,10.814,1.42,1,1.25,1,0.05524,0.011225188,0,0
901,12.198,1.19,1,1.14,1,0.0515,0.011498973,0,0
768,10.247,4.4,1,2.07,1,0.0815,0.010403832,0,0
764,10.521,0.709,1,1.373,1,0.04421,0.007939767,0.04,0
357,10.885,6.3,1,1.14,1,115,1176.5,0,0
28,4.6955,5.1,0,2.11,0,0.050201,0.011498973,0.12,1
28,4.6955,18.2,0,0.398,1,0.2175,0.10403833,0.14,1
28,4.6955,22.9,0,0.456,1,0.476,0.33675563,0.35,1
32,8.81,20.12,0,0.363,1,0.0645,0.023271732,0.19,1
32,8.81,9.6,0,0.289,1,0.1101,0.051745377,0.04,1
66,9.7,8.5,0,0.254,1,0.0428,0.010677618,0,1
135,9.86,12.7132,0,0.322,1,0.06,0.015331964,0.15,1
89,10.03,15.37,0,0.36,1,0.3,0.20314851,0.4,1
585,10.849,22.2481,0,0.23,1,0.241,0.11416838,0,1
2046,13.82,12.2,0,0.435,1,0.092,0.026830938,0.08,1
1930,15.383,5.7,0,0.33,1,0.056,0.013963039,0,1
1930,15.383,28,0,0.44,1,0.098,0.03230664,0,1
522,11.728,8.4,0,0.253,1,0.046,0.010130048,0,1
204,7.98,24.27,0,0.472,1,0.1462,0.050924025,0.083,1
204,7.98,9.6,0,0.273,1,0.0733,0.018069815,0.057,1
593,10.154,27,0,0.514,1,0.1493,0.05338809,0,1
1097,14.81,7.2,0,0.231,1,0.098,0.037234772,0.2,1
1097,14.81,7.7,0,0.24,1,0.28,0.17960301,0.2,1
798,12.101,5.8,0,2.2,0,0.1091,0.036413416,0.18,1
1048,11.429,14.67,0,0.327,1,0.13,0.042710472,0.07,1
1048,11.429,10.18,0,0.352,1,0.22,0.097741276,0.15,1
26,13.76,10.62,0,0.29,1,0.5714,1.0669404,0,1
48,15.1,8.17,0,0.245,1,0.0149,0.004380561,0.063,1
33,14.01,7.4,0,0.234,1,0.026,0.010130048,0.04,1
53,8.08,22.7,0,0.233,1,0.1915,0.09746748,0.19,1
12,8.09,36,0,0.595,1,5.4,20.8,0.27,1
84,9.7,10.2,0,0.283,1,0.053,0.014236824,0.06,1
49,11.79,10.6,0,0.29,1,0.0607,0.023545519,0.07,1
49,11.79,6.8,0,0.223,1,0.1254,0.07008898,0.1,1
49,11.79,29.4,0,0.528,1,1.0304,1.7,0.37,1
39,10.914,6.49,0,0.217,1,0.092,0.04681725,0.07,1
39,10.914,6.4,0,0.215,1,0.129,0.06652977,0.09,1
39,10.914,7.56,0,0.237,1,0.309,0.29103354,0.14,1
93,10.37,16.2,0,0.372,1,0.283,0.19164956,0.72,1
19,8.15,8.57613,0,0.256,1,0.384214,0.33374402,0.37,1
19,8.15,14.85045,0,0.353,1,1.086215,1.6,0.4,1
77,11.45,13,0,0.327,1,0.101,0.04325804,0.08,1
54,11.041,8.2,0,0.249,1,0.079,0.032580424,0.22,1
73,11.403,3.34,0,2.13,0,0.03165,0.007939767,0.32,1
93,10.8275,10.5,0,0.288,1,0.698,0.7058179,0.32,1
59,6.9,11.73969,0,0.308,1,0.091179,0.029295003,0.93,1
66,11.945,23.54,0,0.463,1,0.14339,0.08377823,0.06,1
66,11.945,21.09,0,0.434,1,0.36175,0.33566052,0.11,1
66,11.945,7.6,0,0.238,1,0.19394,0.13169062,0.12,1
77,12.062,6.6,0,0.219,1,0.089,0.03887748,0.31,1
21,7.7,10.6,0,0.29,1,0.142,0.06680356,0.11,1
96,12.332,13.9,0,0.408,1,0.0355,0.009034907,0.02,1
89,13.74,7.41,0,0.235,1,0.0876,0.042436685,0,1
31,10.91,6.1,0,0.209,1,0.204,0.15249829,0,1
66,11.938,8.4,0,0.253,1,0.0287,0.007118412,0.08,1
45,13.04,8,0,0.245,1,0.026,0.008213553,0.07,1
52,12.675,5.71,0,0.201,1,0.081,0.04106776,0,1
55,10.166,7.14,0,0.229,1,0.0608,0.01889117,0.12,1
59,10.844,6.26,0,0.212,1,0.089,0.037508555,0.05,1
39,8.31,7.6,0,0.235,1,0.2324,0.13908282,0.45,1
41,11.66,11.07,0,0.297,1,0.111,0.0550308,0.11,1
70,12.903,16.57,0,0.377,1,0.082,0.0366872,0.37,1
30,9.81,6.043,0,0.208,1,0.062,0.020260096,0.04,1
30,9.81,32.422,0,0.56,1,4.819,14,0.12,1
30,9.81,5.223,0,2.14,0,0.178,0.09883641,0.07,1
32,10.67,22.1,0,0.372,1,0.0291,0.007118412,0.14,1
46,11.49,13.2,0,0.33,1,0.068,0.026283368,0.1,1
25,9.05,5.2,0,2.13,0,0.422,0.38439423,0.45,1
34,9.71,5.36,0,2.17,0,0.06661,0.023819301,0.08,1
21,10.57,15.8,0,0.366,1,0.04061,0.014784395,0,1
21,10.57,5.5,0,2.21,0,0.0721,0.035318274,0,1
24,10.602,5.6,0,2.23,0,0.0505,0.019712524,0.13,1
15,9.38,11.09,0,0.297,1,0.039,0.012867898,0.2,1
52,9.58,6.69167,0,0.221,1,0.180707,0.0971937,0.15,1
16,10.94,8.7,0,0.258,1,0.176,0.15687884,0.1,1
47,9.98,9,0,0.263,1,0.1344,0.066255994,0,1
15,9.15,17.2,0,0.385,1,0.163,0.104312114,0.17,1
15,9.15,16,0,0.369,1,1.165,2,0.4,1
51,9.84,13.64,0,0.336,1,0.119,0.05338809,0.12,1
15,10.16,6.83,0,0.224,1,0.020807,0.005201916,0.21,1
15,10.16,14.6,0,0.35,1,0.3343,0.34031487,0.06,1
11,7.56,7.6,0,0.238,1,0.12,0.059685145,0,1
100,11.297,9.65,0,0.274,1,0.1139,0.050102666,0.29,1
39,9.4,19.66,0,0.417,1,0.291,0.20232718,0.44,1
97,10.37,4.04,0,2.022,0,0.05591,0.016974675,0,1
49,10.03,13.02,0,0.327,1,0.039435,0.010403832,0.11,1
32,9.56,5.63,0,0.2,1,0.0905,0.038056124,0.36,1
27,9.62,6.624,0,0.22,1,0.091,0.042436685,0.05,1
123,9.46,26.69772,0,0.389,1,0.05254,0.013415469,0.22,1
463,11.757,22.2481,0,0.63,1,0.0479,0.011498973,0.12,1
691,12.341,31.46517,0,0.606,1,0.04913,0.011772759,0,1
1121,11.967,23.51942,0,0.614,1,0.05036,0.012046544,0,1
127,7.33,13.1,0,0.328,1,0.06412,0.015879534,0.07,1
127,7.33,11.75,0,0.308,1,0.12859,0.044900753,0.13,1
127,7.33,25.1,0,0.481,1,0.2699,0.13607119,0.05,1
127,7.33,23.9,0,0.468,1,0.4929,0.33593428,0.12,1
127,7.33,21.4,0,0.438,1,1.427,1.7,0.26,1
30,4.89,16,0,0.369,1,0.46,0.33429158,0.34,1
186,9.4,28.6047,0,0.52,1,0.25,0.13086927,0,1
86,8.7,11.2,0,0.299,1,0.439,0.33100617,0.19,1
229,8.63,25.14472,0,0.482,1,0.09124,0.027378507,0.45,1
357,8.951,15.2,0,0.388,1,0.1536,0.057768654,0.22,1
161,8.01,19.89606,0,0.42,1,0.1407,0.050102666,0.34,1
211,9.25,6.98,0,0.227,1,0.1074,0.03887748,0.06,1
211,9.25,9.71,0,0.275,1,0.1367,0.053661875,0.06,1
182,8.04,17.162,0,0.385,1,0.079,0.02162902,0.25,1
182,8.04,24.154,0,0.47,1,0.196,0.08459959,0.15,1
343,9.23,10.3,0,0.285,1,0.113,0.027926078,0.2,1
347,10.09,4.55,0,2.05,0,0.035,0.006844627,0.09,1
347,10.09,10.5,0,0.288,1,0.068,0.0183436,0.05,1
36,6.50066,30.03873,0,0.535,1,0.088127,0.028747434,0.23,1
109,6.41525,25,0,0.48,1,0.229,0.10376455,0.3,1
104,5.88051,10.33369,0,0.285,1,0.053918,0.012046544,0.38,1
92,9.03,6.3566,0,0.214,1,0.08,0.026557151,0,1
188,8.31,15.17685,0,0.358,1,0.051386,0.011498973,0.15,1
73,8.7,26.61699,0,0.498,1,0.287149,0.18015058,0.24,1
78,6.29,10.1,0,0.282,1,0.0444,0.009034907,0.45,1
78,6.29,29.29,0,0.527,1,2.3928,3.5,0.11,1
48,5.65,11.24,0,0.26,1,0.1721,0.07556468,0,1
48,5.65,8.82,0,0.229,1,0.425,0.2934976,0,1
92,8.36,11.2,0,0.299,1,0.10519,0.03887748,0.07,1
92,8.36,9.96,0,0.279,1,0.2554,0.14729637,0.16,1
50,6.01,14.64775,0,0.35,1,0.084501,0.024640657,0.47,1
39,4.4154,13.63484,0,0.336,1,0.1238,0.042436685,0.16,1
377,8.97,20.42286,0,0.426,1,0.242129,0.110609174,0.82,1
77,6.47933,6.44,0,0.216,1,0.0634,0.015879534,0.172,1
77,6.47933,5.59,0,2.23,0,0.1117,0.036960986,0.305,1
35,8.61,28.55,0,0.519,1,0.323,0.23764546,0.07,1
142,7.43,37.24604,0,0.607,1,0.159926,0.05995893,0.5,1
352,8.855,11.56,0,0.304,1,0.1053,0.03175907,0.14,1
59,7.83,20.05856,0,0.422,1,0.068049,0.019986311,0.07,1
59,7.83,17.30766,0,0.387,1,0.111312,0.041889116,0.51,1
60,6.59,6.6,0,0.219,1,0.134,0.050924025,0.344,1
90,7,7.50192,0,0.236,1,0.030046,0.005201916,-0.08,1
157,5.53,17.14419,0,0.384,1,0.166479,0.05995893,0.11,1
79,8.43,31.4968,0,0.55,1,1.57,2.2,0.09,1
51,5.12,10.17,0,0.283,1,0.09286,0.026283368,0,1
83,5.78,22.1,0,0.446,1,0.14,0.047091037,0.2,1
92,7.08597,16.14,0,0.371,1,0.23,0.10951403,0.09,1
72,7.01227,13,0,0.327,1,0.341,0.20725529,0.12,1
72,7.01227,10.52012,0,0.288,1,0.2292,0.11444216,0.09,1
76,6.295,9.53485,0,0.272,1,0.1192,0.041341547,0.12,1
91,8.42,5.74,0,0.202,1,0.06296,0.01779603,0.07,1
91,8.42,9.18,0,0.266,1,0.11878,0.04599589,0.11,1
55,6.15,15.1,0,0.357,1,0.246,0.12183436,0.06,1
227,7.95,25.74423,0,0.488,1,0.1214,0.039698835,0.05,1
19,9.12,12.214,0,0.315,1,0.343,0.2899384,0.1,1
88,8.4,6.3566,0,0.214,1,0.08,0.025735795,0.4,1
73,7.518,10.50968,0,0.288,1,0.087639,0.028199865,0.22,1
187,8.67,19.7,0,0.317,1,0.1334,0.04791239,0.28,1
126,8.99,24.1,0,0.232,1,0.048,0.011225188,0.34,1
58,6.074,8.5,0,0.254,1,0.111,0.039151266,0.189,1
58,6.074,7,0,0.227,1,0.197,0.092265576,0.16,1
41,7.46,16.46,0,0.375,1,0.092,0.032032855,0.14,1
52,5.738,19.069,0,0.409,1,0.1304,0.04681725,0.24,1
175,8.97,10,0,0.304,1,0.0804,0.02436687,0.03,1
175,8.97,8,0,0.285,1,0.1752,0.07830253,0.03,1
175,8.97,2.8,0,0.267,1,0.2132,0.105133474,0.03,1
175,8.97,13.5,0,0.334,1,0.812,0.7775496,0.03,1
29,5.73,16.9,0,0.381,1,0.32,0.20451744,0.13,1
29,5.73,24,0,0.469,1,1.18,1.4,0.32,1
136,8.39,11.66,0,0.306,1,0.0974,0.03230664,0.36,1
136,8.39,14.44,0,0.347,1,0.1964,0.09281315,0.1,1
156,7.99,17.20043,0,0.385,1,0.211213,0.09582478,0.06,1
245,7.62,34.2,0,0.577,1,0.461,0.26283368,0.23,1
117,8.48,5.33,0,2.17,0,0.1004,0.038056124,0.09,1
117,8.48,10.61,0,0.29,1,0.1647,0.079945244,0.11,1
117,8.48,14.03,0,0.342,1,0.3374,0.23408625,0.06,1
43,10.24,13,0,0.327,1,0.143,0.068993844,0.15,1
134,7.68,9.51349,0,0.272,1,0.099068,0.030390145,0.41,1
157,7.95,19.95,0,0.42,1,0.056798,0.013141684,0,1
132,8.96,6.3566,0,0.214,1,0.05,0.010677618,0.16,1
64,7.53,10.26,0,0.284,1,0.198,0.0971937,0.09,1
64,7.53,9.44,0,0.271,1,0.528,0.42272416,0.12,1
108,7.95,8.23,0,0.25,1,0.1455,0.062149215,0.12,1
108,7.95,17.37,0,0.387,1,0.2586,0.14702259,0.07,1
181,7.78,7.35886,0,0.234,1,0.037863,0.006844627,-0.52,1
21,5.56911,10.80622,0,0.293,1,0.3753,0.25790554,0,1
307,9.809,16.6,0,0.42,1,0.06356,0.016427105,0,1
238,8.04,18.94937,0,0.408,1,0.048559,0.010403832,0.09,1
44,8.57,5.57,0,2.22,0,0.051,0.013963039,0,1
50,9.71,6.89,0,0.225,1,0.0932,0.037508555,0.3,1
179,7.57,11.8,0,0.309,1,0.034,0.005475702,0.22,1
160,8.2,38.02619,0,0.615,1,0.241872,0.11444216,0.05,1
455,9.42,7.943,0,0.377,1,0.308,0.15331964,0.1203,1
455,9.42,5.681,0,0.29,1,0.411,0.23080082,0.0864,1
31,9.95,8.4,0,0.253,1,0.066,0.024093088,0,1
125,7.49,10.47,0,0.288,1,0.1254,0.045448326,0.1,1
125,7.49,14.16,0,0.343,1,0.2663,0.14017797,0.04,1
125,7.49,11.82,0,0.309,1,0.8098,0.7438741,0.24,1
154,8.97,10.67,0,0.261,1,0.1783,0.08158795,0.15,1
154,8.97,9.74,0,0.276,1,0.4048,0.27953455,0.6,1
150,7.31,30.7,0,0.542,1,0.4817,0.32279262,0.03,1
150,7.31,16.8,0,0.38,1,0.2687,0.13470227,0.09,1
150,7.31,37.9,0,0.613,1,1.543,1.9,0.03,1
86,8.09,6.3,0,0.213,1,0.103,0.03832991,0.154,1
76,7.51,8.5,0,0.254,1,0.041,0.008761123,0.14,1
42,7.17,6.6,0,0.219,1,0.0799,0.026283368,0.06,1
42,7.17,9.5,0,0.272,1,0.1321,0.055852156,0.07,1
42,7.17,5.2,0,2.13,0,0.247,0.14182067,0.02,1
42,7.17,7.1,0,0.229,1,0.6,0.5415469,0.29,1
79,6.87,14.4,0,0.347,1,0.554,0.4095825,0.19,1
72,6.55,15.8915,0,0.368,1,0.12,0.042710472,0,1
72,6.383,12.19,0,0.314,1,0.0644,0.01615332,0.07,1
72,6.383,8.81,0,0.26,1,0.11,0.035865847,0.07,1
122,7.63,22.2481,0,0.448,1,0.05,0.011225188,0.04,1
140,8.1,31.783,0,0.553,1,0.06,0.013415469,0.09,1
114,8.17,12.77,0,0.323,1,0.1059,0.038603697,0.09,1
114,8.17,14.31,0,0.346,1,0.3809,0.2625599,0.14,1
188,7.94,7.8,0,0.219,1,0.1202,0.039151266,0.08,1
188,7.94,18.4,0,0.401,1,0.2416,0.1119781,0.07,1
888,9.217,13.3,0,0.331,1,0.229,0.07939767,0.68,1
73,6.92035,5.27,0,2.15,0,0.0719,0.01943874,0,1
73,6.92035,7.61,0,0.238,1,0.1458,0.056125943,0,1
103,7.71,17.8,0,0.393,1,0.246,0.12539357,0.12,1
41,5.96004,10.2,0,0.283,1,0.0785,0.023819301,0.1,1
41,5.96004,11.8,0,0.309,1,0.186,0.08651608,0.13,1
41,5.96004,18.1,0,0.397,1,0.63,0.5393566,0.07,1
103,9.67,10.2,0,0.249,1,0.0604,0.017522246,0.09,1
150,8.63,15.9,0,0.368,1,0.06,0.015605749,0.09,1
55,7.17896,6.3566,0,0.214,1,0.06,0.014784395,0.06,1
55,7.17896,7.86,0,0.243,1,0.1134,0.041889116,0.1,1
55,7.17896,6.44,0,0.216,1,0.1551,0.067077346,0.21,1
109,8.54,31.46517,0,0.55,1,1.373,2.2,0.5,1
432,9.38,34.9613,0,0.66,1,0.1066,0.03230664,0.22,1
72,6.92,17.98,0,0.395,1,0.25,0.13634497,0.31,1
141,7.49,7.1,0,0.229,1,0.112,0.03613963,0.2,1
141,7.49,8.7,0,0.258,1,0.2565,0.12566735,0.09,1
19,7.49,13.6,0,0.335,1,2.94,8.1,0.13,1
83,6.51,8.9,0,0.261,1,0.0777,0.022176592,0.138,1
83,6.51,12.7,0,0.322,1,0.424,0.28336754,0.27,1
59,7.56727,22.2481,0,0.448,1,0.12,0.046543464,0.25,1
77,10.56,12.9,0,0.325,1,0.243,0.15112936,0.18,1
131,10.48,20.59095,0,0.428,1,0.234337,0.13880904,0.3,1
108,9.01,12.7,0,0.322,1,0.217,0.11362081,0.16,1
58,9.75,8.1,0,0.247,1,0.256,0.16618754,0.17,1
69,10.06,14.4,0,0.347,1,0.176,0.0936345,0.25,1
34,8.99,22.9,0,0.456,1,0.112,0.04873374,0.5,1
