distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type
2879,14.043,0.467,1,1.388,1,0.04947,0.010951404,0.09,0
2105,13.961,2.96,1,1.166,1,0.0855,0.02436687,0.1,0
1050,14.792,0.22,1,0.57,1,0.063,0.016974675,0,0
1347,13.637,0.84,1,1.066,1,0.4021,0.2609172,0.13,0
1881,13.626,0.15,1,0.57,1,0.071,0.0183436,0,0
622,12.335,17,1,2.2,1,440,0.99931556,0,0
100,12.956,12.0293,1,1.1,1,5.75,11.2,0,0
440,13.98,11,1,2.7,1,330,10441.5,0,0
450,8.57,0.437,1,1.28,1,0.0664,0.014236824,0.08,0
997,18.6837,6.28,1,1.14,1,8.19,28,0.39,0
1216,11.237,3,1,1.051,1,0.07229,0.016974675,0,0
1800,12.353,13,1,1.11,1,4.5,10,0,0
228,4.12577,6.7,1,1.13,1,1.3,1.1441479,0.11,0
10,3.71548,0.66,1,1.25,1,3.53,7.3,0.07,0
12,4.69,3.25,1,1.17,1,11.55,45.2,0.26,0
155,3.523,7.6,1,1.13,1,1.93,1.6,0.15,0
1186,13.242,1.68,1,1.229,1,0.04047,0.008487337,0,0
683,11.277,0.817,1,1.322,1,0.0467,0.010130048,0,0
130,1.99509,8.78,1,1.12,1,1.19,1.173169,0.14,0
46,3.23006,9.4,1,1.12,1,2.05,2.5,0.05,0
155,3.90672,1.02,1,1.23,1,1.24,1.1367557,0.21,0
155,3.90672,4.58,1,1.15,1,2.17,2.6,0.06,0
135,3.69252,1.34,1,1.22,1,1.32,1.5,0.2,0
36,11.939,0.30425,1,1.07,1,0.166,0.113347024,0.38,0
36,11.939,0.21414,1,0.866,1,0.912,1.5,0.34,0
40,11.963,0.82,1,1.24,1,2.41,6.3,0.21,0
121,6.20902,12.79888,1,1.1,1,16.763449,70,0.04,0
57,6.59,3.37,1,1.17,1,0.49,0.36605063,0.51,0
50,12.4,2.5,1,1.18,1,1.151,1.9,0.07,0
50,12.4,1.64396,1,1.2,1,5.23,18.5,0.17,0
67,9.99,2.3,1,1.19,1,4.5,11.2,0.37,0
31,15.18,0.46,1,1.27,1,0.337,0.5577002,0.44,0
31,15.18,0.2,1,0.832,1,1.292,4.4,0.02,0
39,8.31,0.16937,1,0.749,1,1.4,2.1,0.11,0
57,5.18799,4,1,1.16,1,43.5,259.9,0,0
34,9.7,0.328,1,1.11,1,1.135,1.6,0.3,0
52,9.58,5.77988,1,1.14,1,1.734535,2.9,0.32,0
52,9.58,13.4381,1,1.1,1,9.67808,38.1,0.3,0
32,10.129,24.43125,1,1.07,1,10.121898,47.3,0.38,0
16,8.66,0.68,1,1.25,1,3.56,10,0.08,0
29,10.41,0.9,1,1.24,1,2.409,5.2,0.04,0
29,10.41,0.702,1,1.25,1,4.974,19.4,0.1,0
35,6.12,4.42,1,1.15,1,0.11,0.04325804,0.04,0
15,10.16,2.2756,1,1.19,1,0.208317,0.16728269,0.03,0
15,10.16,0.7142,1,1.25,1,0.12959,0.08240931,0.26,0
20,10.05,2.26,1,1.19,1,0.63965,0.77864474,0.35,0
15,12.71,0.21,1,0.856,1,0.88,2.1,0.46,0
67,9.37,9.60029,1,1.11,1,12.341073,52.7,0.16,0
2137,12.316,19.7,1,1.47,1,0.0338,0.004654347,0,0
493,11.593,20,1,3,1,100,1195.9,0,0
354,12.416,16,1,1.8,1,320,6037.4,0,0
155,14.146,11.3,1,1.265,1,2000,155788.8,0,0
123,9.46,2.3,1,1.19,1,4.13,9.3,0.6,0
466,12.665,0.211,1,0.959,1,0.0384,0.008761123,0,0
805,10.421,0.851,1,1.272,1,0.04383,0.007939767,0.01,0
805,10.421,14.28,1,1.1,1,1.258,1.2219027,0.66,0
726,9.988,3.44,1,1.42,1,0.0596,0.012594113,0.11,0
628,12.41,1.94,1,1.06,1,0.0965,0.029842572,0.19,0
739,10.911,4.193,1,1.289,1,0.0413,0.007665982,0.04,0
301,10.375,0.58,1,1.05,1,0.0882,0.028199865,0.35,0
301,10.375,3.4,1,1.17,1,5.6,15.3,0.39,0
526,12.597,0.197,1,0.995,1,0.0559,0.015058179,0.08,0
659,12.826,0.292,1,1.132,1,0.0466,0.010951404,0.07,0
519,9.827,0.525,1,1.319,1,0.05561,0.012320329,0,0
232,11.231,7.246,1,0.867,1,0.0361,0.007939767,0.02,0
904,11.459,4.87,1,1.11,1,0.0494,0.011225188,0.23,0
267,9.763,2.47,1,1.15,1,0.0414,0.008761123,0.02,0
1190,11.937,1.34,1,1.09,1,0.0232,0.003285421,0.11,0
1355,11.762,0.75,1,1.3,1,0.04651,0.009308693,0.07,0
