distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type,,,
515,13.642,11.6,Jupiter,1.11,Jupiter,,0.024640657,0.25,0,,,
36,11.298,6.3,Jupiter,1.11,Jupiter,7506,1101369.9,0,0,,,
1104,15.293,2.75,Jupiter,0.97,Jupiter,0.1055,0.03613963,0.53,0,,,
2137,12.897,2.33,Jupiter,1.43,Jupiter,0.0436,0.008213553,0,0,,,
3674,15.588,0.917,Jupiter,1.44,Jupiter,0.04016,0.007665982,0.07,0,,,
3748,15.005,1.308,Jupiter,0.885,Jupiter,0.051,0.010951404,0,0,,,
5691,15.932,7.6,Jupiter,1.09,Jupiter,0.027,0.004106776,0,0,,,
2389,16.052,0.535,Jupiter,1.17,Jupiter,0.0618,0.014784395,0.33,0,,,
3837,16.29,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0,0,,,
2495,14.868,3.47,Jupiter,1.31,Jupiter,0.0295,0.005201916,0.08,0,,,
2579,14.135,1.11,Jupiter,1.29,Jupiter,0.0518,0.010677618,0.05,0,,,
2570,13.623,1.03,Jupiter,1.49,Jupiter,0.02752,0.004106776,0,0,,,
2753,14.63,4.3,Jupiter,0.84,Jupiter,0.09,0.025188226,0.59,0,,,
2753,14.63,17,Jupiter,1.09,Jupiter,2.9,4.6,0.6,0,,,
4563,16.058,2.26,Jupiter,1.3,Jupiter,0.0417,0.007392197,0,0,,,
3461,15.675,2.8,Jupiter,1.05,Jupiter,0.048,0.009856262,0.16,0,,,
3600,14.79,0.27,Jupiter,1.08,Jupiter,0.0578,0.013415469,0,0,,,
3409,15.861,0.52,Jupiter,1.26,Jupiter,0.0526,0.011498973,0,0,,,
3296,15.774,10.39,Jupiter,1.007,Jupiter,0.0476,0.009856262,0.065,0,,,
2499,13.783,0.484,Jupiter,0.955,Jupiter,0.0603,0.014236824,0.05,0,,,
2631,15.408,0.85,Jupiter,0.9,Jupiter,0.0386,0.007939767,0.08,0,,,
696,12.516,3.47,Jupiter,1.466,Jupiter,0.02798,0.004654347,0.01,0,,,
3367,15.571,2.9,Jupiter,1.009,Jupiter,0.0844,0.024914443,0.01,0,,,
6543,15.479,0.84,Jupiter,1.46,Jupiter,0.0586,0.012594113,0.02,0,,,
3664,15.635,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0,0,,,
3020,13.126,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0,0,,,
2508,13.448,21.66,Jupiter,1.01,Jupiter,0.05783,0.011772759,0,0,,,
2370,13.652,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0,0,,,
2879,14.043,0.467,Jupiter,1.388,Jupiter,0.04947,0.010951404,0.09,0,,,
2105,13.961,2.96,Jupiter,1.166,Jupiter,0.0855,0.02436687,0.1,0,,,
1050,14.792,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0,0,,,
1347,13.637,0.84,Jupiter,1.066,Jupiter,0.4021,0.2609172,0.13,0,,,
1881,13.626,0.15,Jupiter,0.57,Jupiter,0.071,0.0183436,0,0,,,
622,12.335,17,Jupiter,2.2,Jupiter,440,0.99931556,0,0,,,
100,12.956,12.0293,Jupiter,1.1,Jupiter,5.75,11.2,0,0,,,
68,,28.5,Jupiter,1.06,Jupiter,0.36,0.67460644,0.35,0,,,
440,13.98,11,Jupiter,2.7,Jupiter,330,10441.5,0,0,,,
450,8.57,0.437,Jupiter,1.28,Jupiter,0.0664,0.014236824,0.08,0,,,
997,18.6837,6.28,Jupiter,1.14,Jupiter,8.19,28,0.39,0,,,
1216,11.237,3,Jupiter,1.051,Jupiter,0.07229,0.016974675,0,0,,,
1800,12.353,13,Jupiter,1.11,Jupiter,4.5,10,0,0,,,
228,4.12577,6.7,Jupiter,1.13,Jupiter,1.3,1.1441479,0.11,0,,,
10,3.71548,0.66,Jupiter,1.25,Jupiter,3.53,7.3,0.07,0,,,
12,4.69,3.25,Jupiter,1.17,Jupiter,11.55,45.2,0.26,0,,,
155,3.523,7.6,Jupiter,1.13,Jupiter,1.93,1.6,0.15,0,,,
435,,16,Jupiter,1.09,Jupiter,800,101250.8,0,0,,,
1186,13.242,1.68,Jupiter,1.229,Jupiter,0.04047,0.008487337,0,0,,,
683,11.277,0.817,Jupiter,1.322,Jupiter,0.0467,0.010130048,0,0,,,
130,1.99509,8.78,Jupiter,1.12,Jupiter,1.19,1.173169,0.14,0,,,
46,3.23006,9.4,Jupiter,1.12,Jupiter,2.05,2.5,0.05,0,,,
155,3.90672,1.02,Jupiter,1.23,Jupiter,1.24,1.1367557,0.21,0,,,
155,3.90672,4.58,Jupiter,1.15,Jupiter,2.17,2.6,0.06,0,,,
135,3.69252,1.34,Jupiter,1.22,Jupiter,1.32,1.5,0.2,0,,,
36,11.939,0.30425,Jupiter,1.07,Jupiter,0.166,0.113347024,0.38,0,,,
36,11.939,0.21414,Jupiter,0.866,Jupiter,0.912,1.5,0.34,0,,,
40,11.963,0.82,Jupiter,1.24,Jupiter,2.41,6.3,0.21,0,,,
121,6.20902,12.79888,Jupiter,1.1,Jupiter,16.763449,70,0.04,0,,,
57,6.59,3.37,Jupiter,1.17,Jupiter,0.49,0.36605063,0.51,0,,,
50,12.4,2.5,Jupiter,1.18,Jupiter,1.151,1.9,0.07,0,,,
50,12.4,1.64396,Jupiter,1.2,Jupiter,5.23,18.5,0.17,0,,,
67,9.99,2.3,Jupiter,1.19,Jupiter,4.5,11.2,0.37,0,,,
31,15.18,0.46,Jupiter,1.27,Jupiter,0.337,0.5577002,0.44,0,,,
31,15.18,0.2,Jupiter,0.832,Jupiter,1.292,4.4,0.02,0,,,
39,8.31,0.16937,Jupiter,0.749,Jupiter,1.4,2.1,0.11,0,,,
57,5.18799,4,Jupiter,1.16,Jupiter,43.5,259.9,0,0,,,
34,9.7,0.328,Jupiter,1.11,Jupiter,1.135,1.6,0.3,0,,,
52,9.58,5.77988,Jupiter,1.14,Jupiter,1.734535,2.9,0.32,0,,,
52,9.58,13.4381,Jupiter,1.1,Jupiter,9.67808,38.1,0.3,0,,,
32,10.129,24.43125,Jupiter,1.07,Jupiter,10.121898,47.3,0.38,0,,,
16,8.66,0.68,Jupiter,1.25,Jupiter,3.56,10,0.08,0,,,
29,10.41,0.9,Jupiter,1.24,Jupiter,2.409,5.2,0.04,0,,,
29,10.41,0.702,Jupiter,1.25,Jupiter,4.974,19.4,0.1,0,,,
35,6.12,4.42,Jupiter,1.15,Jupiter,0.11,0.04325804,0.04,0,,,
15,10.16,2.2756,Jupiter,1.19,Jupiter,0.208317,0.16728269,0.03,0,,,
15,10.16,0.7142,Jupiter,1.25,Jupiter,0.12959,0.08240931,0.26,0,,,
20,10.05,2.26,Jupiter,1.19,Jupiter,0.63965,0.77864474,0.35,0,,,
15,12.71,0.21,Jupiter,0.856,Jupiter,0.88,2.1,0.46,0,,,
67,9.37,9.60029,Jupiter,1.11,Jupiter,12.341073,52.7,0.16,0,,,
2137,12.316,19.7,Jupiter,1.47,Jupiter,0.0338,0.004654347,0,0,,,
493,11.593,20,Jupiter,3,Jupiter,100,1195.9,0,0,,,
354,12.416,16,Jupiter,1.8,Jupiter,320,6037.4,0,0,,,
155,14.146,11.3,Jupiter,1.265,Jupiter,2000,155788.8,0,0,,,
123,9.46,2.3,Jupiter,1.19,Jupiter,4.13,9.3,0.6,0,,,
466,12.665,0.211,Jupiter,0.959,Jupiter,0.0384,0.008761123,0,0,,,
805,10.421,0.851,Jupiter,1.272,Jupiter,0.04383,0.007939767,0.01,0,,,
805,10.421,14.28,Jupiter,1.1,Jupiter,1.258,1.2219027,0.66,0,,,
726,9.988,3.44,Jupiter,1.42,Jupiter,0.0596,0.012594113,0.11,0,,,
628,12.41,1.94,Jupiter,1.06,Jupiter,0.0965,0.029842572,0.19,0,,,
739,10.911,4.193,Jupiter,1.289,Jupiter,0.0413,0.007665982,0.04,0,,,
301,10.375,0.58,Jupiter,1.05,Jupiter,0.0882,0.028199865,0.35,0,,,
301,10.375,3.4,Jupiter,1.17,Jupiter,5.6,15.3,0.39,0,,,
526,12.597,0.197,Jupiter,0.995,Jupiter,0.0559,0.015058179,0.08,0,,,
